,name,original_currency,original_budget,original_budget_in_usd,release_date,award_year
0,ben-hur,USD,15.2,$15200000.0,1959-11-18,1960
1,lawrence of arabia,USD,15.0,$15000000.0,1962-12-10,1963
2,my fair lady,USD,17.0,$17000000.0,1964-11-09,1965
3,the deer hunter,USD,15.0,$15000000.0,1978-12-08,1979
4,gandhi,USD,22.0,$22000000.0,1982-11-30,1983
5,amadeus,USD,18.0,$18000000.0,1984-09-06,1985
6,out of africa,USD,28.0,$28000000.0,1985-12-18,1986
7,the last emperor [o],USD,23.8,$23800000.0,1987-10-23,1988
8,rain man,USD,25.0,$25000000.0,1988-12-16,1989
9,dances with wolves,USD,22.0,$22000000.0,1990-10-19,1991
10,the silence of the lambs,USD,19.0,$19000000.0,1991-02-14,1992
11,schindler's list,USD,22.0,$22000000.0,1993-11-30,1994
12,braveheart,USD,72.0,$72000000.0,1995-05-24,1996
13,the english patient,USD,27.0,$27000000.0,1996-11-15,1997
14,titanic,USD,200.0,$200000000.0,1997-11-01,1998
15,shakespeare in love,USD,25.0,$25000000.0,1998-12-03,1999
16,american beauty,USD,15.0,$15000000.0,1999-09-08,2000
17,gladiator,USD,103.0,$103000000.0,2000-05-01,2001
18,a beautiful mind,USD,58.0,$58000000.0,2001-12-13,2002
19,chicago,USD,45.0,$45000000.0,2002-12-10,2003
20,million dollar baby,USD,30.0,$30000000.0,2004-12-15,2005
21,the departed,USD,90.0,$90000000.0,2006-09-26,2007
22,no country for old men,USD,25.0,$25000000.0,2007-05-19,2008
23,slumdog millionaire [o],USD,15.0,$15000000.0,2008-08-30,2009
24,the hurt locker,USD,15.0,$15000000.0,2008-09-04,2009
25,the king's speech,USD,15.0,$15000000.0,2010-09-06,2011
26,the artist,USD,15.0,$15000000.0,2011-05-15,2012
27,argo,USD,44.5,$44500000.0,2012-08-31,2013
28,12 years a slave,USD,22.0,$22000000.0,2013-08-30,2014
29,birdman or (the unexpected virtue of ignorance),USD,18.0,$18000000.0,2014-08-27,2015
